latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-37.669,148.896,332.3,1.1,1,2020-01-13,0355,A,65,6.0NRT,298.3,25.8,D
-37.671,148.884,345.6,1.1,1,2020-01-13,0355,A,93,6.0NRT,300.5,49.5,D
-37.672,148.872,320.3,1.1,1,2020-01-13,0355,A,29,6.0NRT,298.1,11,D
-37.613,149.25,326.4,1,1,2020-01-13,0355,A,66,6.0NRT,298.2,19.1,D
-37.65,148.966,387.8,1.1,1,2020-01-13,0355,A,100,6.0NRT,305.9,194.3,D
-37.652,148.954,354.6,1.1,1,2020-01-13,0355,A,97,6.0NRT,301.9,71.3,D
-37.658,148.906,344.2,1.1,1,2020-01-13,0355,A,92,6.0NRT,300.4,46.8,D
-37.698,148.59,315.2,1.1,1,2020-01-13,0355,A,26,6.0NRT,298.5,8,D
-37.7,148.578,317.8,1.1,1,2020-01-13,0355,A,46,6.0NRT,299,10,D
-37.598,149.296,350.5,1,1,2020-01-13,0355,A,95,6.0NRT,299.7,60.8,D
-37.6,149.284,372.2,1,1,2020-01-13,0355,A,100,6.0NRT,305.4,123.6,D
-37.601,149.272,354.9,1,1,2020-01-13,0355,A,97,6.0NRT,302.4,70.8,D
-37.603,149.26,351.9,1,1,2020-01-13,0355,A,96,6.0NRT,301.4,62.5,D
-37.604,149.248,349.1,1,1,2020-01-13,0355,A,95,6.0NRT,301,57.1,D
-37.606,149.237,318.2,1,1,2020-01-13,0355,A,68,6.0NRT,299.5,10.8,D
-37.637,149,340.2,1,1,2020-01-13,0355,A,90,6.0NRT,301.1,40.3,D
-37.638,148.988,314.6,1,1,2020-01-13,0355,A,16,6.0NRT,298.9,7,D
-37.649,148.904,315.1,1.1,1,2020-01-13,0355,A,40,6.0NRT,299.4,6.5,D
-37.689,148.588,321.9,1.1,1,2020-01-13,0355,A,64,6.0NRT,298.3,14.3,D
-37.589,149.294,332,1,1,2020-01-13,0355,A,84,6.0NRT,300,27,D
-37.59,149.282,331.3,1,1,2020-01-13,0355,A,84,6.0NRT,300.6,25.2,D
-37.592,149.27,332.8,1,1,2020-01-13,0355,A,85,6.0NRT,300.1,27.3,D
-37.593,149.258,325.6,1,1,2020-01-13,0355,A,52,6.0NRT,298.8,16.9,D
